thscode,trade_date,open,high,low,close,volume
700001.TI,2024-02-22,2798.635,2836.107,2795.812,2836.107,818269300.59
700001.TI,2024-02-23,2843.253,2863.95,2825.212,2861.964,906530458.31
700001.TI,2024-02-26,2863.154,2888.165,2846.619,2858.657,973411244.05
700001.TI,2024-02-27,2847.867,2913.869,2841.647,2913.869,915883012.65
700001.TI,2024-02-28,2918.445,2943.853,2827.06,2827.06,1321271047.11
700001.TI,2024-02-29,2810.576,2905.891,2810.576,2905.891,982761960.24
700001.TI,2024-03-01,2908.587,2934.583,2895.296,2929.747,925952077.59
700001.TI,2024-03-04,2932.861,2939.648,2901.788,2936.643,923975888.44
700001.TI,2024-03-05,2920.143,2937.036,2911.928,2929.239,900125815.54
700001.TI,2024-03-06,2918.941,2953.783,2908.347,2930.586,812404677.63
700001.TI,2024-03-07,2931.995,2950.657,2903.498,2903.617,893762465.87
700001.TI,2024-03-08,2904.479,2933.049,2891.44,2928.632,758712251.46
700001.TI,2024-03-11,2926.571,2974.655,2926.571,2974.655,858306846.16
700001.TI,2024-03-12,2978.458,2993.575,2960.471,2985.349,985823950.56
700001.TI,2024-03-13,2985.058,2997.462,2964.154,2978.101,896662334.94
700001.TI,2024-03-14,2976.781,2994.569,2942.763,2964.625,877440487.75
700001.TI,2024-03-15,2957.465,2987.581,2947.426,2986.933,844400403.08
700001.TI,2024-03-18,2995.241,3027.232,2994.115,3027.232,974860123.5
700001.TI,2024-03-19,3019.572,3034.879,3007.356,3007.356,923795724.47
700001.TI,2024-03-20,3001.377,3024.858,3001.377,3023.266,864491971.45
700001.TI,2024-03-21,3029.663,3035.848,3009.206,3020.406,930301578.5
700001.TI,2024-03-22,3012.767,3016.511,2965.426,2986.124,964075998.76
700001.TI,2024-03-25,2978.061,2996.972,2943.597,2943.597,918498895.45
700001.TI,2024-03-26,2941.094,2956.908,2918.229,2946.88,834249742.97
700001.TI,2024-03-27,2941.907,2941.969,2883.246,2883.246,815219553.08
700001.TI,2024-03-28,2879.785,2945.739,2879.785,2920.073,837130041.8
700001.TI,2024-03-29,2918.108,2943.892,2914.229,2943.892,788548901.57
700001.TI,2024-04-01,2955.13,2999.605,2955.117,2999.605,895445676.22
700001.TI,2024-04-02,2997.987,2997.987,2975.103,2987.347,901196542.18
700001.TI,2024-04-03,2983.099,2985.441,2959.971,2972.703,860197509.91
700001.TI,2024-04-08,2962.22,2967.776,2931.044,2931.106,886793880.52
700001.TI,2024-04-09,2927.92,2947.056,2920.469,2946.639,748979891.2
700001.TI,2024-04-10,2941.975,2941.98,2890.689,2907.67,798499597.08
700001.TI,2024-04-11,2889.675,2933.932,2887.737,2911.608,763198865.76
700001.TI,2024-04-12,2912.389,2923.525,2886.789,2891.031,753819019.09
700001.TI,2024-04-15,2884.201,2918.39,2849.49,2899.365,1009721745.68
700001.TI,2024-04-16,2881.414,2887.506,2813.042,2814.268,986831589.96
700001.TI,2024-04-17,2822.74,2900.298,2822.74,2900.298,926612434.47
700001.TI,2024-04-18,2891.08,2929.971,2881.829,2901.756,904251185.87
700001.TI,2024-04-19,2886.087,2904.629,2868.217,2882.375,819207212.32
700001.TI,2024-04-22,2872.004,2895.376,2860.809,2868.516,776822736.74
700001.TI,2024-04-23,2864.628,2874.415,2849.097,2855.312,725344483.82
700001.TI,2024-04-24,2858.772,2884.554,2851.87,2884.554,728348816.02
700001.TI,2024-04-25,2874.312,2905.676,2872.206,2890.203,716696587.8
